id,name,type,isp (s),thrust (N),mass (kg),subtype,propellant
1,Aestus,bipropellant,324,30000,111,,
2,AestusII,bipropellant,340,55400,138,,
3,S139,bipropellant,264,4860000,160200,,
4,Merlin1D,bipropellant,311,723000,470,,
5,Merlin1DFT,bipropellant,311,914000,470,,
6,Merlin1C,bipropellant,304,480408,630,,
7,Rutherford Electron First Stage,bipropellant,303,162000,950,,
8,Rutherford Electron Second Stage,bipropellant,333,22000,250,,
9,Blue Origin BE-3,bipropellant,400,50000,140,,LOX
10,Blue Origin BE-4,bipropellant,350,250000,500,,Natural gas
11,NSTAR,electric,3100,0.092,8.2,ion,Xenon
